"id","sentence"
"1","डॉ भीमराव आंबेडकर अंतरराष्ट्रीय हवाई अड्डा दिल्ली के पास स्थित है जहाँ प्रोफेसर राजेश कुमार ने भाषण दिया"
"2","नेहरू मेमोरियल म्यूजियम एंड लाइब्रेरी नई दिल्ली में स्थित है जहाँ डॉक्टर राकेश शर्मा ने व्याख्यान दिया"
"3","राजीव गांधी अंतरराष्ट्रीय हवाई अड्डा हैदराबाद में स्थित है जहाँ इंजीनियर विकास गुप्ता ने प्रस्तुति दी"
"4","इंदिरा गांधी राष्ट्रीय मुक्त विश्वविद्यालय के छात्र राहुल गांधी ने अमेठी में कार्यक्रम आयोजित किया"
"5","डॉ ए पी जे अब्दुल कलाम तकनीकी विश्वविद्यालय लखनऊ के वैज्ञानिक डॉक्टर अनिल कुमार ने शोध प्रस्तुत किया"
"6","टाटा इंस्टीट्यूट ऑफ फंडामेंटल रिसर्च मुंबई में स्थित है जहाँ वैज्ञानिक सीमा वर्मा ने प्रस्तुति दी"
"7","डॉ राम मनोहर लोहिया राष्ट्रीय विधि विश्वविद्यालय लखनऊ के प्रोफेसर राम मनोहर ने दिल्ली विश्वविद्यालय में व्याख्यान दिया"
"8","अटल बिहारी वाजपेयी भारतीय प्रौद्योगिकी संस्थान कानपुर के प्रोफेसर अटल बिहारी ने भोपाल में व्याख्यान दिया"
"9","भारतीय रिज़र्व बैंक के पूर्व गवर्नर रघुराम राजन ने शिकागो विश्वविद्यालय में प्रोफेसर रघुराम के रूप में कार्य किया"
"10","सरदार वल्लभभाई पटेल राष्ट्रीय पुलिस अकादमी हैदराबाद के अधिकारी पटेल ने गुजरात में प्रशिक्षण दिया"
"11","मौलाना आज़ाद राष्ट्रीय प्रौद्योगिकी संस्थान भोपाल के प्रोफेसर आज़ाद ने दिल्ली के जामिया मिल्लिया इस्लामिया विश्वविद्यालय में व्याख्यान दिया"
"12","चंद्रशेखर आज़ाद कृषि एवं प्रौद्योगिकी विश्वविद्यालय कानपुर के छात्र आज़ाद ने इलाहाबाद विश्वविद्यालय में प्रवेश लिया"
"13","लाल बहादुर शास्त्री राष्ट्रीय प्रशासन अकादमी मसूरी के प्रशिक्षु शास्त्री ने उत्तर प्रदेश के इलाहाबाद में प्रशिक्षण लिया"
"14","भाभा परमाणु अनुसंधान केंद्र मुंबई के वैज्ञानिक भाभा ने टाटा मेमोरियल अस्पताल में अनुसंधान किया"
"15","रानी लक्ष्मीबाई राष्ट्रीय रक्षा विश्वविद्यालय गुजरात के अधिकारी लक्ष्मीबाई ने झांसी विश्वविद्यालय में प्रशिक्षण लिया"
"16","सुभाष चंद्र बोस राष्ट्रीय खेल संस्थान पटियाला के कोच बोस ने कोलकाता के नेताजी सुभाष चंद्र बोस अंतरराष्ट्रीय हवाई अड्डे पर कार्यक्रम किया"
"17","डॉ एपीजे अब्दुल कलाम अंतरिक्ष अनुसंधान केंद्र तिरुवनंतपुरम के वैज्ञानिक कलाम ने भारतीय अंतरिक्ष अनुसंधान संगठन में कार्य"
"18","महात्मा गांधी राष्ट्रीय ग्रामीण रोजगार गारंटी योजना के अधिकारी गांधी ने अहमदाबाद के साबरमती आश्रम में भाषण दिया"
"19","राज कपूर फिल्म एंड टेलीविजन संस्थान पुणे के निर्देशक कपूर ने मुंबई विश्वविद्यालय में व्याख्यान दिया"
"20","इंदिरा गांधी राष्ट्रीय कला केंद्र दिल्ली के अधिकारी गांधी ने इंदिरा गांधी अंतरराष्ट्रीय हवाई अड्डे पर कार्यक्रम आयोजित किया"
"21","श्री वेंकटेश्वर विश्वविद्यालय तिरुपति के प्रोफेसर वेंकटेश्वर ने आंध्र प्रदेश के तिरुपति मंदिर में व्याख्यान दिया"
"22","नेशनल इंस्टिट्यूट ऑफ टेक्नोलॉजी वारंगल के पूर्व छात्र रवि कुमार ने माइक्रोसॉफ्ट इंडिया प्राइवेट लिमिटेड में नौकरी शुरू की"
"23","डॉ सर्वपल्ली राधाकृष्णन राष्ट्रीय विश्वविद्यालय तिरुपति के कुलपति राधाकृष्णन ने आंध्र प्रदेश विश्वविद्यालय में भाषण दिया"
"24","पंडित जवाहरलाल नेहरू पोर्ट ट्रस्ट मुंबई के अधिकारी नेहरू ने नई दिल्ली रेलवे स्टेशन पर बैठक की"
"25","सर सैयद अहमद खान अलीगढ़ मुस्लिम विश्वविद्यालय के प्रोफेसर अहमद ने उत्तर प्रदेश के अलीगढ़ में शोध प्रस्तुत किया"
"26","राजीव गांधी अंतरराष्ट्रीय क्रिकेट स्टेडियम हैदराबाद के खिलाड़ी गांधी ने मुंबई इंडियंस टीम के साथ मैच खेला"
"27","बिरला इंस्टीट्यूट ऑफ टेक्नोलॉजी एंड साइंस पिलानी के छात्र बिरला ने राजस्थान विश्वविद्यालय में प्रवेश लिया"
"28","इंदिरा गांधी राष्ट्रीय मुक्त विश्वविद्यालय के छात्र गांधी ने अमेठी में इंदिरा गांधी मेमोरियल कार्यक्रम में भाग लिया"
"29","नेताजी सुभाष चंद्र बोस अंतरराष्ट्रीय हवाई अड्डा कोलकाता के कर्मचारी बोस ने दिल्ली हवाई अड्डे पर कार्यभार संभाला"
"30","भगत सिंह राष्ट्रीय प्रौद्योगिकी संस्थान जालंधर के छात्र सिंह ने पंजाब के भगत सिंह नगर में सम्मेलन में भाग लिया"
"31","चंद्रशेखर आजाद कृषि एवं प्रौद्योगिकी विश्वविद्यालय कानपुर के वैज्ञानिक आजाद ने उत्तर प्रदेश के आजाद नगर में शोध किया"
"32","मौलाना अबुल कलाम आजाद राष्ट्रीय प्रौद्योगिकी संस्थान भोपाल के प्रोफेसर आजाद ने दिल्ली के मौलाना आजाद रोड पर व्याख्यान दिया"
"33","धीरूभाई अंबानी अंतरराष्ट्रीय स्कूल मुंबई के छात्र अंबानी ने रिलायंस इंडस्ट्रीज लिमिटेड में इंटर्नशिप शुरू की"
"34","भारतीय स्टेट बैंक मुंबई के प्रबंधक शर्मा ने स्टेट बैंक ऑफ इंडिया की दिल्ली शाखा में कार्यभार संभाला"
"35","प्रेस ट्रस्ट ऑफ इंडिया दिल्ली के पत्रकार वर्मा ने इंडिया टुडे समूह में वर्मा के साथ साक्षात्कार किया"
"36","राजेंद्र प्रसाद केंद्रीय कृषि विश्वविद्यालय समस्तीपुर के वैज्ञानिक प्रसाद ने टाटा कंसल्टेंसी सर्विसेज में परियोजना शुरू की"
"37","डॉ बी आर अंबेडकर राष्ट्रीय विधि विश्वविद्यालय रायपुर के छात्र अंबेडकर ने सुप्रीम कोर्ट ऑफ इंडिया में याचिका दायर की"
"38","सुभाष चंद्र बोस अंतरराष्ट्रीय हवाई अड्डा कोलकाता के कर्मचारी बोस ने नेताजी नगर में बैठक की"
"39","डॉ भीमराव आंबेडकर विश्वविद्यालय दिल्ली के छात्र आंबेडकर ने महाराष्ट्र के आंबेडकर नगर में शोध किया"
"40","मौलाना आजाद राष्ट्रीय प्रौद्योगिकी संस्थान भोपाल के प्रोफेसर आजाद ने आजाद मार्केट दिल्ली में भाषण दिया"
"41","राजीव गांधी अंतरराष्ट्रीय क्रिकेट स्टेडियम हैदराबाद के खिलाड़ी गांधी ने गांधी नगर में मैच खेला"
"42","टाटा इंस्टीट्यूट ऑफ फंडामेंटल रिसर्च मुंबई के वैज्ञानिक टाटा ने टाटा नगर झारखंड में सम्मेलन किया"
"43","इंदिरा गांधी राष्ट्रीय मुक्त विश्वविद्यालय के छात्र गांधी ने इंदिरा गांधी मेमोरियल दिल्ली में भाग लिया"
"44","चंद्रशेखर आजाद कृषि विश्वविद्यालय कानपुर के वैज्ञानिक आजाद ने आजाद नगर कानपुर में प्रयोग किया"
"45","भगत सिंह राष्ट्रीय प्रौद्योगिकी संस्थान जालंधर के छात्र सिंह ने पंजाब के भगत सिंह नगर में कार्यक्रम किया"
"46","लाल बहादुर शास्त्री राष्ट्रीय प्रशासन अकादमी मसूरी के अधिकारी शास्त्री ने उत्तर प्रदेश के शास्त्री नगर में भाषण दिया"
"47","किंग जॉर्ज मेडिकल विश्वविद्यालय लखनऊ के डॉक्टर जॉर्ज ने लखनऊ के जॉर्ज टाउन में इलाज किया"
"48","सरदार वल्लभभाई पटेल राष्ट्रीय पुलिस अकादमी हैदराबाद के अधिकारी पटेल ने गुजरात के सरदार पटेल नगर में प्रशिक्षण लिया"
"49","डॉ एपीजे अब्दुल कलाम तकनीकी विश्वविद्यालय लखनऊ के प्रोफेसर कलाम ने उत्तर प्रदेश के कलाम नगर में शोध प्रस्तुत किया"
"50","राम स्कूल जा रहा है।"
"51","सीता मुंबई में रहती है"
"52","अनुज हैदराबाद में पढ़ाई कर रहा है"
"53","रवि चेन्नई में काम करता है"
"54","नेहा जयपुर में रहती है"
"55","विकास अहमदाबाद गया"
"56","किरण लखनऊ में रहती है"
"57","अजय भोपाल में काम करता है"
"58","रोहित सूरत में रहता है"
"59","मोहन आगरा गया"
"60","करण उदयपुर में रहता है"
"61","नीलम जयपुर गई"
"62","रचना मैसूर गई"
"63","अनिता कानपुर गई"
"64","संदीप मेरठ गया"
"65","रीना अमृतसर गई"
"66","कविता उज्जैन गई"
"67","दीक्षा शिमला गई"
"68","राहुल देहरादून गया"
"69","पूजा भुवनेश्वर गई"
"70","गीता कोच्चि गई"
"71","अमित त्रिवेंद्रम गया"
"72","सुरेश पुदुच्चेरी गया"
"73","लता श्रीनगर गई"
"74","दीपिका गंगटोक गई"
"75","सुनील सिलचर गया"
"76","रीतेश कोहिमा गया"
"77","प्रदीप इटानगर गया"
"78","आरव पनजी गया"
"79","तन्वी इम्फाल गई"
"80","आरती दिल्ली गई"
"81","रीमा भिलाई गई"
"82","कुशल जमशेदपुर गया"
"83","दीपाली वेल्लोर गई"
"84","करण गुवाहाटी गया"
"85","अंकित तिरुचिरापल्ली गया"
"86","प्रकाश रांची गया"
"87","विनिता आसनसोल गई"
"88","दीपेश पुरी गया"
"89","अनिल करनाल गया"
"90","सुमन हिसार गई"
"91","अर्पित रोहतक गया"
"92","पवन करूर गया"
"93","राहुल हिसार गया"
"94","मयंक झांसी गया"
"95","रोहन झांसी गया"
"96","विक्रम अलवर गया"
"97","सचिन धार गया"
"98","किरण सागर गई"
"99","अमृता बिलासपुर गई"
"100","अजय नगर में बहुत भीड़ है।"
"101","रामनगर से आने वाली ट्रेन लेट है।"
"102","विजय बैंक में खाता खुलवाना है।"
"103","भारत माता की जय!"
"104","सुनील दत्त अस्पताल में भर्ती हैं।"
"105","अंबेडकर यूनिवर्सिटी में दाखिला मिला।"
"106","कृष्णा नदी के किनारे बाढ़ आई।"
"107","राधा स्वामी सत्संग में हजारों लोग आए।"
"108","टाटा नगर स्टेशन पर ट्रेन रुकी।"
"109","महात्मा गांधी मार्ग पर जाम लगा है।"
"110","नेहरू पार्क में सुबह टहलना अच्छा लगता है।"
"111","इंदिरा गांधी अंतरराष्ट्रीय हवाई अड्डे पर भीड़ थी।"
"112","विक्रम साराभाई स्पेस सेंटर ने नया रॉकेट लॉन्च किया।"
"113","बोस इंस्टीट्यूट में नई खोज हुई।"
"114","शिवाजी महाराज टर्मिनस से ट्रेन पकड़नी है।"
"115","रानी झाँसी रोड पर नया फ्लाईओवर बना।"
"116","जवाहरलाल नेहरू स्टेडियम में मैच होगा।"
"117","अब्दुल कलाम द्वीप से मिसाइल टेस्ट हुआ।"
"118","श्रीनगर जिले में बर्फबारी हुई।"
"119","सरस्वती नदी का उल्लेख ग्रंथों में है।"
"120","गंगा नदी का पानी प्रदूषित हो रहा है।"
"121","यमुना एक्सप्रेसवे पर दुर्घटना हुई।"
"122","सीता राम बाज़ार में दुकान है।"
"123","हनुमान नगर में चोरी हुई।"
"124","श्याम लाल कॉलेज में परीक्षा है।"
"125","दिल्ली पुलिस ने आरोपी को पकड़ा।"
"126","मुंबई हाई कोर्ट ने फ़ैसला सुनाया।"
"127","पंजाब नेशनल बैंक में धोखाधड़ी हुई।"
"128","उत्तर प्रदेश सरकार ने नई योजना लाई।"
"129","बिहार विधानसभा में हंगामा हुआ।"
"130","भारतीय जनता पार्टी ने घोषणापत्र जारी किया।"
"131","कांग्रेस पार्टी के अध्यक्ष ने बयान दिया।"
"132","हिंदुस्तान टाइम्स ने खबर छापी।"
"133","आर्यभट्ट रिसर्च इंस्टीट्यूट ने रिपोर्ट दी।"
"134","लक्ष्मी बाई नेशनल इंस्टीट्यूट में नामांकन हुआ।"
"135","कश्मीर घाटी में तनाव है।"
"136","सिंधु सभ्यता की खुदाई में मूर्तियाँ मिलीं।"
"137","भारत हेवी इलेक्ट्रिकल्स लिमिटेड में वैकेंसी है।"
"138","अलीगढ़ मुस्लिम यूनिवर्सिटी में विरोध हुआ।"
"139","जामिया मिलिया इस्लामिया में परीक्षा है।"
"140","सुभाष चंद्र बोस इंटरनेशनल एयरपोर्ट बंद था।"
"141","तेलंगाना राज्य को दर्जा मिला था।"
"142","महाराष्ट्र नवनिर्माण सेना ने बंद का आह्वान किया।"
"143","रिलायंस इंडस्ट्रीज का मुनाफा बढ़ा।"
"144","इन्फोसिस बेंगलुरु ने नई भर्तियाँ कीं।"
"145","विप्रो लिमिटेड के शेयर गिरे।"
"146","आईसीआईसीआई बैंक ने ब्याज दरें बढ़ाईं।"
"147","एयर इंडिया की फ्लाइट रद्द हुई।"
"148","दूरदर्शन पर खबर आई।"
"149","ऑल इंडिया रेडियो से प्रसारण हुआ।"
"150","भारतीय रेलवे ने नई ट्रेन चलाई।"
"151","रामकृष्ण मिशन ने राहत सामग्री बाँटी।"
"152","गाँधी मेमोरियल अस्पताल में सुविधाएँ कम हैं।"
"153","पटेल नगर में नल नहीं आया।"
"154","जयप्रकाश नारायण एयरपोर्ट का विस्तार होगा।"
"155","बिरसा मुंडा स्टेडियम में मैच है।"
"156","सर गंगाराम अस्पताल में इलाज हुआ।"
"157","बाबा साहब भीमराव अंबेडकर की जयंती है।"
"158","नेताजी सुभाष चंद्र बोस को याद किया।"
"159","महात्मा गांधी ने सत्याग्रह किया था।"
"160","इंडियन नेशनल कांग्रेस की स्थापना 1885 में हुई।"
"161","विश्व हिंदू परिषद ने मार्च निकाला।"
"162","आर्य समाज के कार्यक्रम में भीड़ थी।"
"163","सिख गुरुद्वारा प्रबंधक कमेटी ने बयान दिया।"
"164","काशी हिंदू विश्वविद्यालय में दाखिला मिला।"
"165","अलीगढ़ में सांप्रदायिक तनाव है।"
"166","सोनिया गांधी के समर्थकों ने धरना दिया।"
"167","नरेंद्र मोदी ने योजना की घोषणा की।"
"168","अरविंद केजरीवाल ने प्रेस कॉन्फ्रेंस की।"
"169","राहुल गांधी की यात्रा जारी है।"
"170","ममता बनर्जी ने विरोध जताया।"
"171","योगी आदित्यनाथ ने बयान दिया।"
"172","अमिताभ बच्चन फिल्म में हैं।"
"173","सचिन तेंदुलकर का रिकॉर्ड टूटा।"
"174","विराट कोहली ने शतक लगाया।"
"175","पी.वी. सिंधु ने स्वर्ण पदक जीता।"
"176","मेरी कोम ने मुक्केबाज़ी में नाम किया।"
"177","नीरज चोपड़ा ने भाला फेंक में जीत दिलाई।"
"178","रतन टाटा ने कंपनी छोड़ी।"
"179","मुकेश अंबानी ने नई घोषणा की।"
"180","कल्पना चावला भारत की पहली महिला अंतरिक्ष यात्री थीं।"
"181","सुनीता विलियम्स अंतरिक्ष से लौटीं।"
"182","मदर टेरेसा ने कोलकाता में काम किया।"
"183","स्वामी विवेकानंद के विचार आज भी प्रासंगिक हैं।"
"184","दलाई लामा ने शांति का संदेश दिया।"
"185","शंकराचार्य ने प्रवचन दिया।"
"186","मुख्यमंत्री ने योजना लॉन्च की।"
"187","राज्यपाल ने बिल लौटाया।"
"188","सेना प्रमुख ने बयान दिया।"
"189","पुलिस अधीक्षक सिंह ने कार्रवाई की।"
"190","श्री राम मंदिर का उद्घाटन हुआ।"
"191","हज़रत निज़ामुद्दीन दरगाह पर भक्त आते हैं।"
"192","साईं बाबा मंदिर में भीड़ थी।"
"193","गुरु नानक देव जी की जयंती है।"
"194","ईसा मसीह के अनुयायी यहाँ आए।"
"195","अल्लाह के बंदे यहाँ जमा थे।"
"196","रामायण में वर्णित अयोध्या प्रसिद्ध है।"
"197","महाभारत के पात्र आज भी जीवित हैं लोगों के मन में।"
"198","श्रीमद् भगवद्गीता का पाठ हुआ।"
"199","नोबेल पुरस्कार विजेता अभिजीत बनर्जी ने बात की।"
"200","ऑस्कर में भारतीय फिल्म को नामांकन मिला।"
"201","यूनिसेफ ने रिपोर्ट जारी की।"
"202","संयुक्त राष्ट्र संघ ने बैठक बुलाई।"
"203","विश्व स्वास्थ्य संगठन ने चेतावनी दी।"
"204","आईपीएल में मुंबई इंडियंस जीती।"
"205","चेन्नई सुपर किंग्स ने बाज़ी मारी।"
"206","कोलकाता नाइट राइडर्स फाइनल में हैं।"
"207","राजस्थान रॉयल्स का प्रदर्शन अच्छा है।"
